항목,값,설명
행사명,GAME OVER?,예: GAME OVER?
슬로건,"망한 줄 알았는데,
경험치였습니다.",히어로 큰 문구
한 줄 소개,"주제는 인디 & 기업입니다. 직접 만들어 본 사람과 지금 업계에서 일하는 사람이, 만들면서 실제로 겪은 이야기를 들려줍니다.",슬로건 아래 설명 한 줄
날짜,2026년 10월 31일 (토),예: 2026년 10월 31일 (토)
시간,09:30 ~ 18:10,예: 09:30 ~ 18:10
장소,동명대학교 (강의실 확정 후 공지),예: 동명대학교 (강의실 확정 후 공지)
주최,동명대학교 게임 개발 동아리 연합 · UPTRAND × 기즈모,푸터 표기
참가비,무료,예: 무료
신청 주소,,구글 폼 주소. 비우면 신청 버튼이 '준비 중'으로 보입니다
신청 마감,10월 24일 (토),예: 10월 24일 (토)
수요조사 주소,https://docs.google.com/forms/d/e/1FAIpQLSefhkkrg8fb6WtDYU2QGqXz9QpTJCbS_bD-u9XOJfiRENVHew/viewform,신청을 열기 전 받는 폼. 신청 주소가 비어 있을 때 이 버튼이 대신 나옵니다
수요조사 안내,정식 신청은 10월 초에 이 페이지에서 열립니다. 지금은 수요조사만 받고 있습니다.,수요조사 버튼 아래 한 줄
문의 메일,continueadmin@gmail.com,
사이트 주소,https://game-dev-conference-gameover.github.io/GAMEOVER_Homepage/,https:// 로 시작하는 배포 주소
공유 이미지,,카톡 등에 링크를 붙였을 때 뜨는 그림
